title;description;url;image;goal
Todo App;A distraction-free web app to help you focus on creating and completing tasks. Built using streamlit. ;https://github.com/OmrSanchez/my-todo-app.git;1.png;Goal: To gain familiarity with the streamlit library and use it to develop python web applications.
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://pythonhow.com;2.png;Goal: Use knowledge learned to showcase my learned skills and abilities with networking and python.
FlashCards;A flashcard app built in Python. Minimal functionality built in. MVC design pattern used with Tkinter as the GUI.;https://github.com/OmrSanchez/FlashCards.git;3.png;Goal: Practice working with csv data using the Pandas module.
Password Manager;A password manager built in Python. Support password generation and login search and lookup. MVC and Tkinter. ;https://github.com/OmrSanchez/Password-Manager-GUI-MVC-TKinter.git;4.png;Goal: Learn data structures and manipulation using the pandas module, reading from and saving to files.
